Date,Open,High,Low,Close,Volume
2022-01-18,186.0,187.3,185.11,186.17,342172.0
2022-01-19,186.5,186.89,178.25,179.74,607202.0
2022-01-20,179.5,182.48,177.01,181.5,529319.0
2022-01-21,181.5,184.0,180.6,182.25,258434.0
2022-01-24,181.2,187.5,180.92,185.1,1163989.0
2022-01-25,186.5,189.55,185.6,186.52,1788495.0
2022-01-26,186.8,188.99,185.0,186.16,318582.0
2022-01-27,187.76,189.25,186.23,186.51,713428.0
2022-01-28,187.0,188.25,185.0,185.53,474151.0
2022-01-31,185.75,188.4,185.1,187.85,511081.0
2022-02-01,187.97,189.75,186.81,188.4,646684.0
2022-02-02,187.9,192.9,187.7,192.05,1478594.0
2022-02-03,193.99,193.99,190.11,190.38,750513.0
2022-02-04,191.0,196.5,190.05,195.23,2169200.0
2022-02-07,194.75,199.0,193.5,194.37,1185706.0
2022-02-08,194.38,195.4,193.25,193.86,280231.0
2022-02-09,193.86,196.0,193.5,195.46,508581.0
2022-02-10,197.0,198.98,196.25,196.85,1157911.0
2022-02-11,196.5,198.0,187.1,187.73,2890182.0
2022-02-14,187.75,188.5,182.53,183.28,1156904.0
2022-02-15,183.51,185.39,182.3,183.9,480872.0
2022-02-16,184.8,185.22,182.01,182.77,271046.0
2022-02-17,181.65,182.64,179.55,180.52,533667.0
2022-02-18,180.5,184.75,180.02,183.26,786613.0
2022-02-21,183.0,185.19,182.93,183.14,819534.0
2022-02-22,182.32,182.37,179.5,181.04,678191.0
2022-02-23,182.45,182.45,179.2,180.0,566239.0
2022-02-24,179.0,179.0,172.0,173.72,902620.0
2022-02-25,176.0,177.2,173.72,176.49,558039.0
2022-02-28,175.99,181.99,173.0,181.27,459030.0
2022-03-01,186.0,186.0,179.95,181.24,1631059.0
2022-03-02,179.05,179.05,174.9,177.93,2377738.0
2022-03-03,177.25,178.02,172.75,175.25,1064947.0
2022-03-04,174.0,175.0,172.85,173.06,474260.0
2022-03-07,172.4,172.4,163.3,164.91,1368270.0
2022-03-08,164.5,165.65,159.99,160.42,891659.0
2022-03-09,160.5,160.99,158.45,159.5,418571.0
2022-03-10,162.0,164.5,159.65,163.57,548284.0
2022-03-11,162.98,164.0,160.8,161.69,324998.0
2022-03-14,161.7,162.75,159.85,160.14,657370.0
2022-03-15,161.0,163.75,160.14,163.26,175756.0
2022-03-16,163.97,165.77,163.3,164.94,335660.0
2022-03-17,165.0,166.0,163.0,163.35,241112.0
2022-03-18,161.0,161.45,155.21,156.2,1969868.0
2022-03-21,156.02,158.0,156.02,157.59,581295.0
2022-03-22,158.45,158.9,156.42,156.76,260108.0
2022-03-24,157.01,157.9,154.75,157.51,454355.0
2022-03-25,157.51,158.59,155.81,156.65,897935.0
2022-03-28,156.7,159.9,155.61,159.34,294068.0
2022-03-29,160.8,167.0,160.2,165.96,996430.0
2022-03-30,165.25,166.99,160.61,163.1,1488784.0
2022-03-31,162.9,169.0,162.4,166.67,1205187.0
2022-04-01,166.5,169.19,162.0,166.45,647062.0
2022-04-04,161.8,162.49,154.75,156.35,1454985.0
2022-04-05,157.2,158.45,154.83,156.62,585586.0
2022-04-06,157.3,159.2,156.87,157.21,339181.0
2022-04-07,157.05,158.98,157.05,157.95,452860.0
2022-04-08,156.5,162.4,156.5,161.58,915671.0
2022-04-11,166.5,171.5,166.02,170.84,2806493.0
2022-04-12,171.0,171.2,167.0,168.72,1097011.0
2022-04-13,168.4,172.5,167.43,168.95,1527351.0
